Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,CPIAUCSL,FEDFUNDS
2020-12-11,106.56832973356889,107.36652270198292,104.0640143291312,104.50301361083984,2302600,0.0,0.0,261.564,0.09
2020-12-14,106.14927274377739,106.14927274377739,102.74699244479784,102.80685424804688,2034900,0.0,0.0,261.564,0.09
2020-12-15,105.31118769931123,105.66039427379674,102.67716152014569,104.73249816894531,1923400,0.0,0.0,261.564,0.09
2020-12-16,104.73248993570306,105.12160688984508,103.0662704026198,104.17375946044922,1955900,0.0,0.0,261.564,0.09
2020-12-17,104.80233892726865,105.11163508986574,103.31571231113543,104.46310424804688,2410700,0.0,0.0,261.564,0.09
2020-12-18,104.77240274250701,106.67807714975613,104.18373373934023,104.37330627441406,5231600,0.0,0.0,261.564,0.09
2020-12-21,101.71932218107784,104.62274159171788,101.10072988128692,103.75470733642578,3331300,0.0,0.0,261.564,0.09
2020-12-22,103.80460164525527,104.32342175209288,102.41774724637119,102.7170639038086,2393000,0.0,0.0,261.564,0.09
2020-12-23,103.78464084804213,106.58828811422322,103.08622771390863,106.26901245117188,2196200,0.0,0.0,261.564,0.09
2020-12-24,106.31889242179587,106.64814758300781,105.41095536733721,106.64814758300781,822400,0.0,0.0,261.564,0.09
2020-12-28,107.74565193431098,109.1524652208099,106.87762533059453,107.13703155517578,1575100,0.0,0.0,261.564,0.09
2020-12-29,107.93522481788962,109.40189991302337,107.26674263274742,107.70574188232422,1428000,0.0,0.0,261.564,0.09
2020-12-30,107.85540668168629,110.58920490624928,107.85540668168629,109.93070220947266,1405100,0.0,0.0,261.564,0.09
2020-12-31,109.43183575258809,111.35746919360544,108.44407788130799,111.00826263427734,1571400,0.0,0.0,261.564,0.09
2021-01-04,110.71891036573854,111.05813739687754,105.7701342279816,107.21685028076172,2759300,0.0,0.0,261.564,0.09
2021-01-05,106.7578944623245,108.8331899385972,106.63816324218624,107.70574188232422,2564200,0.0,0.0,261.564,0.09
2021-01-06,107.82547559115244,111.82640451390226,107.81549608621098,110.51936340332031,1868200,0.0,0.0,261.564,0.09
2021-01-07,111.19782778340956,113.63230942271005,110.99828335257239,113.0336685180664,2640400,0.0,0.0,261.564,0.09
2021-01-08,113.66224042907932,115.40828084294857,112.77425477042496,113.90170288085938,4065100,0.0,0.0,261.564,0.09
2021-01-11,112.23547843316197,113.4527192838595,111.06812749751231,112.92391967773438,1527600,0.0,0.0,261.564,0.09
2021-01-12,112.92391139028807,113.83184840289387,111.87628414822657,112.07583618164062,1792900,0.0,0.0,261.564,0.09
2021-01-13,112.02595068761724,112.92391584305933,110.39964151485634,111.61688232421875,2041800,0.0,0.0,261.564,0.09
2021-01-14,112.3053172780076,113.42278588617508,110.85860111901238,111.85633850097656,2360600,0.0,0.0,261.564,0.09
2021-01-15,111.17787448049522,111.38739841292436,107.82547633736516,108.16471099853516,2169400,0.0,0.0,261.564,0.09
